time,open,high,low,close,volume
1578384000,7883.11,7904.72,7868,7883.97,2060.945511
1578387600,7884.32,7886.17,7855,7856.26,1266.181976
1578391200,7856.26,7889.78,7856.15,7889.24,1164.566425
1578394800,7888.12,7965,7881.69,7895.14,4207.107584
1578398400,7895.13,7915.77,7840,7869.05,3167.803362
1578402000,7869.02,7869.03,7810.73,7847.99,2935.85674
1578405600,7847.99,7884.59,7837.26,7838.8,2419.777007
1578409200,7841.16,7847.99,7740.29,7764.59,5292.202151
1578412800,7764.04,7940.12,7723.71,7912.18,6410.882075
1578416400,7912.18,7952.05,7878.01,7938.33,3293.006137
1578420000,7937.88,8137,7919.22,8037.69,9327.807487
1578423600,8038.54,8111.45,8032.39,8073.69,4283.208684
1578427200,8073.69,8175.01,8041.28,8162.66,4404.727667
1578430800,8162.57,8188,7975.74,8016.44,5116.55768
1578434400,8016.43,8067.06,7945.72,8049.55,3088.53339
1578438000,8049.83,8207.68,8020.7,8145.28,3983.395044
1578441600,8145.92,8455,8142,8431.82,12579.62806
1578445200,8430.53,8448.14,8328.89,8370.92,8384.945558
1578448800,8370.93,8422,8256.74,8278.59,4558.246276
1578452400,8278.07,8344,8244.93,8300.34,4359.947687
1578456000,8300.34,8355.87,8288,8344.63,2575.222396
1578459600,8343.92,8377,8307.85,8334.77,2664.277869
1578463200,8334.76,8367.61,8319,8339.13,1731.943454
1578466800,8339.14,8347.99,8277.21,8297.26,2788.142801
1578470400,8297.27,8329.09,8264.86,8312.04,2508.727051
1578474000,8312.05,8321.83,8276,8297.21,2091.834391
1578477600,8296.98,8359,8284.19,8326.98,2380.674785
1578481200,8327.06,8370,8325.03,8332.47,2034.529797
1578484800,8332.2,8347.33,8276,8286.16,2426.854154
1578488400,8285.92,8418.61,8215.2,8384.99,7456.82961
1578492000,8384.99,8385,8184,8310.98,6554.98078
1578495600,8310.98,8359,8237.36,8305.97,3993.008669
1578499200,8306.09,8335.79,8050,8115,12758.45028
1578502800,8115,8123.98,8010,8077.68,7266.047229
1578506400,8077.68,8094.93,8035.01,8053.7,2950.762774
1578510000,8053.7,8069.73,7963.05,7963.35,3758.461889
1578513600,7963.56,8060.86,7870,8046.03,8887.842817
1578517200,8046.42,8048.66,7957.55,8016.06,3140.073055
1578520800,8017.36,8080,7988.58,8076.13,2119.902017
1578524400,8076.13,8125.57,8023.55,8055.98,2651.309243
1578528000,8054.72,8055.96,7928,7956.55,3517.43095
1578531600,7956.88,8037.37,7950,8004.8,2413.123473
1578535200,8004.05,8026.01,7980,7982.75,1579.537464
1578538800,7983.09,7993.46,7935.56,7954.72,2480.168472
1578542400,7954.96,7978.31,7928,7966.85,2053.928386
1578546000,7966.75,7966.75,7925.68,7941.83,1404.270001
1578549600,7941.99,7951.68,7896,7908.48,2068.18413
1578553200,7908.71,7976.67,7903.4,7949.84,2449.538328
1578556800,7949.57,7955.83,7909.3,7933.1,1641.494387
1578560400,7932.51,7932.94,7864.24,7872.35,3408.741356
1578564000,7872.36,7934.78,7852.01,7896.38,2923.998132
1578567600,7895.56,7901.99,7855,7878.56,1911.857856
1578571200,7878.02,7917.68,7871,7900.91,2162.941372
1578574800,7901.49,7945,7891.43,7897.52,2859.442366
1578578400,7897.54,7919.59,7875.55,7885.5,1887.759463
1578582000,7885.5,7930,7882.75,7907.05,1555.442519
1578585600,7907.05,7920.01,7805.01,7818.15,4386.286631
1578589200,7818.15,7846,7778,7798.6,3990.175129
1578592800,7798.23,7832.13,7788.68,7810.64,1529.030453
1578596400,7810.68,7957.48,7810.3,7917.54,3465.438657
1578600000,7917.55,8000,7805,7818.3,6732.412789
1578603600,7819.97,7854.14,7750,7789.96,4555.024481
1578607200,7789.99,7873.12,7788.78,7811.31,1877.380286
1578610800,7811.31,7835,7790.01,7817.76,1385.912749
1578614400,7817.74,7854.06,7811.05,7820.01,1276.755793
1578618000,7820.25,7841.57,7786.12,7804.99,1249.569649
1578621600,7804.99,7825,7793.34,7803.68,1004.334531
1578625200,7803.68,7825,7770,7818.02,1415.752784
1578628800,7818.06,7819.84,7768.4,7795.3,1669.78936
1578632400,7795.33,7797.95,7735,7748.86,2146.933344
1578636000,7748,7786.13,7711.76,7748.64,2963.811973
1578639600,7747.25,7757.38,7725.77,7752.98,1815.165345
1578643200,7753.05,7754.36,7680,7706.53,4208.967256
1578646800,7706.52,7750,7691.91,7716.47,2842.868735
1578650400,7716.02,7788,7672,7771.87,3772.539304
1578654000,7772.12,7854.44,7766.93,7841.69,5366.335557
1578657600,7841.03,7899.98,7811,7893.98,4174.80608
1578661200,7893.98,7944,7862.31,7870.4,4142.505896
1578664800,7870.7,7982.85,7850.01,7978.65,4262.687889
1578668400,7978.65,8086.85,7945.44,8066.6,7367.250672
1578672000,8067.5,8140.11,7928.94,7952.65,8107.578673
1578675600,7952.23,7979,7909.98,7966.3,3426.043673
1578679200,7966.3,8113.53,7966.3,8022.16,6172.791013
1578682800,8022.15,8122,7964.01,8059.49,5212.524366
1578686400,8058.05,8100,8039.27,8073.16,2511.935531
1578690000,8074,8135.21,8006.65,8049.99,2919.79654
1578693600,8048.24,8101.86,7981.59,8090.13,1946.832887
1578697200,8090.13,8199,8064.64,8197.02,2429.200597
1578700800,8198.86,8200,8119.75,8168.92,2971.522168
1578704400,8168.39,8253.26,8165.16,8204.86,3211.743194
1578708000,8204.84,8217.41,8155.02,8206.19,2134.580068
1578711600,8206,8207.81,8125.09,8158.49,1711.758967
1578715200,8158.83,8179.94,8101,8117.82,1445.957883
1578718800,8118.4,8118.4,8044.65,8083.41,2285.705846
1578722400,8083.41,8128.98,8055.71,8124.99,1745.207418
1578726000,8124.99,8150,8061.71,8074.18,1976.070507
1578729600,8074.17,8096.87,8037,8052.96,2479.712213
1578733200,8052.96,8129.97,8050.83,8114.22,1672.797787
1578736800,8114.2,8117.03,8042.89,8054.03,1477.913509
1578740400,8054.03,8074.26,8010,8045.95,2106.394416
1578744000,8045.89,8068,8018.41,8061.95,1788.46524
1578747600,8061.93,8102.56,8045.01,8090.02,1952.326847
1578751200,8090.73,8135,8050,8053.75,2019.034562
1578754800,8054,8106.65,8053.08,8099.73,1461.322326
1578758400,8099.16,8180.7,8070,8169.46,3939.308813
1578762000,8168.35,8221.55,8150,8160.56,3232.766889
1578765600,8160,8189,8136.68,8169.14,1586.219348
1578769200,8169.64,8179.96,8137.27,8151.78,1306.429898
1578772800,8151.77,8189.49,8140.98,8161.81,1152.143371
1578776400,8161.81,8286.34,8060.25,8105,4403.099606
1578780000,8106.12,8139.69,8030,8082.57,3727.441848
1578783600,8082.58,8082.58,8003.16,8020.01,3022.109943
1578787200,8020.01,8080,7960,8060.89,4003.350255
1578790800,8060.24,8089.97,8036.13,8065.53,1073.779611
1578794400,8065.63,8108,8052.88,8095,1248.587062
1578798000,8095,8110.92,8065.62,8091.33,963.637569
1578801600,8090.7,8105,8071.2,8073.79,711.211749
1578805200,8073.03,8110.92,8070.98,8106.05,997.127263
1578808800,8105.96,8153.84,8080.01,8083.84,2509.947391
1578812400,8083.43,8110,8080.45,8097.51,867.095068
1578816000,8097.51,8144.72,8080.01,8140.59,1564.077267
1578819600,8138.71,8164.08,8118,8137.5,1733.24415
1578823200,8137.49,8140.87,8095.72,8122.12,1437.283282
1578826800,8120.87,8130.5,8103.17,8114.08,867.374202
1578830400,8114.08,8155.77,8113.11,8132.19,1826.516481
1578834000,8132.19,8170.1,8122.09,8165,1509.356687
1578837600,8165.08,8185,8127.79,8137.17,2027.452023
1578841200,8137.64,8171,8137.28,8152.7,1232.987263
1578844800,8152.63,8175,8100,8101.98,1921.573971
1578848400,8101.02,8197,8072,8101.47,4321.62153
1578852000,8101.47,8129.68,8085,8119.31,1596.985116
1578855600,8119.91,8160.42,8119.32,8132.01,1572.61611
1578859200,8131.4,8152.56,8128.58,8138.74,827.587843
1578862800,8138.76,8145.98,8091.22,8102.32,700.412221
1578866400,8102.21,8168.78,8100.44,8159.3,1229.957837
1578870000,8159.91,8185,8134.51,8184.98,1387.712385
1578873600,8184.97,8196,8142.11,8152.73,1532.148674
1578877200,8152.72,8163.13,8138,8155.98,971.813322
1578880800,8155.98,8159.52,8109.7,8113.12,1058.719264
1578884400,8112.97,8124.9,8086.39,8105.77,1451.173665
1578888000,8105.73,8126.31,8090.25,8118.33,1134.782721
1578891600,8118.07,8118.07,8077.65,8096.23,1033.249253
1578895200,8096.18,8115,8057.59,8063.11,1601.342481
1578898800,8063.11,8094.05,8060,8075.26,1614.421591
1578902400,8075.26,8134.6,8065,8129.99,1974.384978
1578906000,8131.03,8132.5,8086.01,8113.69,1587.107884
1578909600,8113.67,8129,8093.08,8125.69,1559.751981
1578913200,8125.66,8131.56,8075,8075.01,1464.21659
1578916800,8076.86,8096.11,8055.89,8092.85,1823.743811
1578920400,8093.16,8114.48,8077.64,8086.78,1128.964651
1578924000,8087.24,8096.76,8071.56,8090,1142.061198
1578927600,8090,8103.18,8073,8084.89,926.615141
1578931200,8085.07,8110,8071.12,8109.96,1139.351833
1578934800,8109.38,8129.45,8090.5,8098.22,1443.251755
